track_id,genres,artist_name,explicit,tempo,release_date,energy,key,popularity,duration_ms,mode,time_signature,album_name,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness,song_name,audio_profile_score,matched_taste_cluster,genre_preference_score,personalized_score,spotify_url
42OhQBFNIbMyxRGxyPOvQA,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",Lil' Kim,False,99.429,1997-06-30,0.602,6.0,50.0,,0.0,4.0,Not Tonight EP,0.32,0.854,0.592,0.0689,0.292,0.0,-10.162,"Not Tonight (feat. Da Brat, Left Eye, Missy ""Misdemeanor"" Elliott and Angie Martinez) - Remix",0.9180080344279608,1,0.5777215297715367,0.8499507334966759,https://open.spotify.com/track/42OhQBFNIbMyxRGxyPOvQA
23xup5SPK9QGT5Rs5qUzOm,['pop'],blackbear,True,114.991,2017-04-21,0.495,2.0,0.0,,0.0,4.0,digital druglord,0.188,0.802,0.47,0.0232,0.0933,0.0,-6.154,wish u the best,0.9290058513482412,1,0.5272890992262464,0.8486625009238423,https://open.spotify.com/track/23xup5SPK9QGT5Rs5qUzOm
740kQ8xwSGloumdiKR5Cwz,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Future,True,139.999,2020-05-15,0.526,0.0,56.0,,1.0,4.0,High Off Life,0.209,0.768,0.473,0.237,0.139,0.0,-7.182,Trillionaire (feat. Youngboy Never Broke Again),0.9432187726100286,1,0.4654388029217812,0.8476627786723792,https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz
665Prhaf0Ob6J6p7SKpaQE,"['dance pop', 'pop']",Camila Cabello,False,90.011,2022-04-08,0.511,11.0,45.0,,1.0,4.0,Familia,0.124,0.75,0.449,0.132,0.222,0.0,-9.143,Quiet,0.9186433056990305,1,0.5628452510562199,0.8474836947704685,https://open.spotify.com/track/665Prhaf0Ob6J6p7SKpaQE
6WBTeFDEfAJbaSUUc1V1xQ,"['canadian pop', 'pop', 'viral pop']",Shawn Mendes,False,105.008,2018-05-25,0.738,0.0,0.0,201200.0,0.0,4.0,Shawn Mendes,0.358,0.736,0.404,0.261,0.107,0.0,-6.782,Lost In Japan,0.9264905254046122,1,0.5272890992262464,0.8466502401689391,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
3UKpM8G5Py5oKFafPTGg75,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",Big Sean,False,75.498,2017-02-02,0.525,10.0,25.0,,0.0,4.0,I Decided.,0.253,0.825,0.425,0.0508,0.134,0.0,-5.368,Moves,0.9175704518953959,1,0.5626878516093151,0.8465939318381798,https://open.spotify.com/track/3UKpM8G5Py5oKFafPTGg75
5LXj9Ch3O9ATm1NoHT8GXn,"['permanent wave', 'pop']",Coldplay,False,120.056,2017-03-02,0.683,5.0,46.0,,1.0,4.0,Hypnotised,0.032,0.513,0.153,0.339,0.0871,0.739,-6.185,Hypnotised,0.9119709630807241,3,0.5272890992262464,0.8350345903098286,https://open.spotify.com/track/5LXj9Ch3O9ATm1NoHT8GXn
1FMRxA2Ql5vSsnWFuaDbsu,"['dance pop', 'edm', 'pop', 'pop dance']",Avicii,False,128.01,2012-04-27,0.521,5.0,40.0,,0.0,4.0,Silhouettes,0.0604,0.716,0.365,0.064,0.0517,0.691,-8.19,Silhouettes - Original Mix,0.8794284462928772,3,0.5773927817191846,0.8190213133781388,https://open.spotify.com/track/1FMRxA2Ql5vSsnWFuaDbsu
5ZMqdwtZvvNrpUUTijZem6,"['permanent wave', 'pop']",Coldplay,False,120.025,2003-03-24,0.709,1.0,37.0,,0.0,4.0,Clocks,0.033,0.49,0.538,0.267,0.163,0.599,-6.039,Crests of Waves,0.8898488084475199,3,0.5272890992262464,0.8173368666032652,https://open.spotify.com/track/5ZMqdwtZvvNrpUUTijZem6
23zJcKwLf5CeaKVbFhrWgF,"['pop', 'r&b en espanol']",ROSALÍA,False,122.848,2019-11-07,0.409,0.0,57.0,,0.0,4.0,A Palé,0.0903,0.63,0.332,0.119,0.121,0.629,-8.83,A Palé,0.8891448477904002,3,0.5272890992262464,0.8167736980775694,https://open.spotify.com/track/23zJcKwLf5CeaKVbFhrWgF
